FileName OldFileName UpdateDate Res
OMNI-5min-1981.bin omni_5min1981.asc 20190722 5
OMNI-5min-1982.bin omni_5min1982.asc 20190722 5
OMNI-5min-1983.bin omni_5min1983.asc 20190722 5
OMNI-5min-1984.bin omni_5min1984.asc 20190722 5
OMNI-5min-1985.bin omni_5min1985.asc 20190722 5
OMNI-5min-1986.bin omni_5min1986.asc 20190722 5
OMNI-5min-1987.bin omni_5min1987.asc 20190722 5
OMNI-5min-1988.bin omni_5min1988.asc 20190722 5
OMNI-5min-1989.bin omni_5min1989.asc 20190722 5
OMNI-5min-1990.bin omni_5min1990.asc 20190722 5
OMNI-5min-1991.bin omni_5min1991.asc 20190722 5
OMNI-5min-1992.bin omni_5min1992.asc 20190722 5
OMNI-5min-1993.bin omni_5min1993.asc 20190722 5
OMNI-5min-1994.bin omni_5min1994.asc 20190722 5
OMNI-5min-1995.bin omni_5min1995.asc 20190722 5
OMNI-5min-1996.bin omni_5min1996.asc 20190722 5
OMNI-5min-1997.bin omni_5min1997.asc 20190722 5
OMNI-5min-1998.bin omni_5min1998.asc 20190722 5
OMNI-5min-1999.bin omni_5min1999.asc 20190722 5
OMNI-5min-2000.bin omni_5min2000.asc 20190722 5
OMNI-5min-2001.bin omni_5min2001.asc 20190722 5
OMNI-5min-2002.bin omni_5min2002.asc 20190722 5
OMNI-5min-2003.bin omni_5min2003.asc 20190722 5
OMNI-5min-2004.bin omni_5min2004.asc 20190722 5
OMNI-5min-2005.bin omni_5min2005.asc 20190722 5
OMNI-5min-2006.bin omni_5min2006.asc 20190722 5
OMNI-5min-2007.bin omni_5min2007.asc 20190722 5
OMNI-5min-2008.bin omni_5min2008.asc 20190722 5
OMNI-5min-2009.bin omni_5min2009.asc 20190722 5
OMNI-5min-2010.bin omni_5min2010.asc 20190722 5
OMNI-5min-2011.bin omni_5min2011.asc 20190722 5
OMNI-5min-2012.bin omni_5min2012.asc 20190722 5
OMNI-5min-2013.bin omni_5min2013.asc 20220204 5
OMNI-5min-2014.bin omni_5min2014.asc 20220204 5
OMNI-5min-2015.bin omni_5min2015.asc 20220204 5
OMNI-5min-2016.bin omni_5min2016.asc 20220204 5
OMNI-5min-2017.bin omni_5min2017.asc 20220204 5
OMNI-5min-2018.bin omni_5min2018.asc 20220405 5
OMNI-5min-2019.bin omni_5min2019.asc 20220204 5
OMNI-5min-2020.bin omni_5min2020.asc 20220204 5
OMNI-5min-2021.bin omni_5min2021.asc 20220204 5
OMNI-1min-1981.bin omni_min1981.asc 20190722 1
OMNI-1min-1982.bin omni_min1982.asc 20190722 1
OMNI-1min-1983.bin omni_min1983.asc 20190722 1
OMNI-1min-1984.bin omni_min1984.asc 20190722 1
OMNI-1min-1985.bin omni_min1985.asc 20190722 1
OMNI-1min-1986.bin omni_min1986.asc 20190722 1
OMNI-1min-1987.bin omni_min1987.asc 20190722 1
OMNI-1min-1988.bin omni_min1988.asc 20190722 1
OMNI-1min-1989.bin omni_min1989.asc 20190722 1
OMNI-1min-1990.bin omni_min1990.asc 20190722 1
OMNI-1min-1991.bin omni_min1991.asc 20190722 1
OMNI-1min-1992.bin omni_min1992.asc 20190722 1
OMNI-1min-1993.bin omni_min1993.asc 20190722 1
OMNI-1min-1994.bin omni_min1994.asc 20190722 1
OMNI-1min-1995.bin omni_min1995.asc 20190722 1
OMNI-1min-1996.bin omni_min1996.asc 20190722 1
OMNI-1min-1997.bin omni_min1997.asc 20190722 1
OMNI-1min-1998.bin omni_min1998.asc 20190722 1
OMNI-1min-1999.bin omni_min1999.asc 20190722 1
OMNI-1min-2000.bin omni_min2000.asc 20190722 1
OMNI-1min-2001.bin omni_min2001.asc 20190722 1
OMNI-1min-2002.bin omni_min2002.asc 20190722 1
OMNI-1min-2003.bin omni_min2003.asc 20190722 1
OMNI-1min-2004.bin omni_min2004.asc 20190722 1
OMNI-1min-2005.bin omni_min2005.asc 20190722 1
OMNI-1min-2006.bin omni_min2006.asc 20190722 1
OMNI-1min-2007.bin omni_min2007.asc 20190722 1
OMNI-1min-2008.bin omni_min2008.asc 20190722 1
OMNI-1min-2009.bin omni_min2009.asc 20190722 1
OMNI-1min-2010.bin omni_min2010.asc 20190722 1
OMNI-1min-2011.bin omni_min2011.asc 20190722 1
OMNI-1min-2012.bin omni_min2012.asc 20190722 1
OMNI-1min-2013.bin omni_min2013.asc 20220204 1
OMNI-1min-2014.bin omni_min2014.asc 20220204 1
OMNI-1min-2015.bin omni_min2015.asc 20220204 1
OMNI-1min-2016.bin omni_min2016.asc 20220204 1
OMNI-1min-2017.bin omni_min2017.asc 20220204 1
OMNI-1min-2018.bin omni_min2018.asc 20220405 1
OMNI-1min-2019.bin omni_min2019.asc 20220204 1
OMNI-1min-2020.bin omni_min2020.asc 20220204 1
OMNI-1min-2021.bin omni_min2021.asc 20220204 1
OMNI-5min-2022.bin omni_5min2022.asc 20220427 5
OMNI-1min-2022.bin omni_min2022.asc 20220427 1
