startyear;endyear;normalization;learningRate;lambdaValue;PCE;R2;hiddenSize;num_layers;dense
2009;2019;0mean;base;0.0001;2.1616878509521484;0.06508472668186609;8;4;[2048, 2048]
2009;2019;0mean;base;0.0001;1.9064866304397583;0.05945329854408554;8;8;[2048, 2048]
2009;2019;0mean;base;0.0001;1.6884952783584595;0.11263806420648166;8;4;[256, 512, 128]
2009;2019;0mean;base;0.0001;2.2843210697174072;0.014776517568542903;16;4;[256, 512, 128]
2009;2019;0mean;base;0.0001;1.6851649284362793;0.09438112937441863;8;8;[256, 512, 128]
2009;2019;0mean;base;0.0001;2.3667867183685303;0.006417402503267575;16;8;[256, 512, 128]
2009;2019;0mean;base;0.003;1.7959233522415161;0.03364868901105091;8;8;[2048, 2048]
2009;2019;0mean;base;0.003;1.770290493965149;0.13690476895998124;8;4;[256, 512, 128]
2009;2019;0mean;base;0.003;2.1114518642425537;0.022498284697813713;16;4;[256, 512, 128]
2009;2019;0mean;base;0.003;1.6070795059204102;0.09841837667560742;8;8;[256, 512, 128]
2009;2019;0mean;base;0.003;2.1816396713256836;0.009854739664051466;16;8;[256, 512, 128]
2009;2019;0mean;base;0.0;5.196075916290283;0.03718581217099697;8;4;[2048, 2048]
2009;2019;0mean;base;0.0;4.320714473724365;0.08561826081232714;8;4;[256, 512, 128]
2009;2019;0mean;base;0.0;4.812312126159668;0.012022860587811093;16;4;[256, 512, 128]
2009;2019;0mean;base;0.0;2.717583417892456;0.09723494794021786;8;8;[256, 512, 128]
2009;2019;0mean;base;0.0;4.352689266204834;0.0290163463087089;16;8;[256, 512, 128]
2009;2019;0mean;base;0.3;15.87545394897461;0.031603538246640674;8;4;[2048, 2048]
2009;2019;0mean;base;0.3;6.648094177246094;0.06121591821357656;8;8;[2048, 2048]
2009;2019;0mean;base;0.3;5.2977728843688965;0.12968962744193765;8;4;[256, 512, 128]
2009;2019;0mean;base;0.3;8.900321006774902;0.009115701048510894;16;4;[256, 512, 128]
2009;2019;0mean;base;0.3;4.118435859680176;0.09236580261319642;8;8;[256, 512, 128]
2009;2019;0mean;base;0.3;5.653833866119385;0.06564084228622773;16;8;[256, 512, 128]
2009;2019;100-1000;base;0.0001;0.07584647834300995;0.05227205089870842;8;4;[2048, 2048]
2009;2019;100-1000;base;0.0001;0.07311393320560455;0.0604016419807973;16;4;[2048, 2048]
2009;2019;100-1000;base;0.0001;0.0835796371102333;0.017621416158291412;8;8;[2048, 2048]
2009;2019;100-1000;base;0.0001;0.0745498314499855;0.07130130215610343;16;8;[2048, 2048]
2009;2019;100-1000;base;0.003;0.07736014574766159;0.06995029087351907;8;4;[2048, 2048]
2009;2019;100-1000;base;0.003;0.07617407292127609;0.05837452895727254;16;4;[2048, 2048]
2009;2019;100-1000;base;0.003;0.07875840365886688;0.06003627599382822;8;8;[2048, 2048]
2009;2019;100-1000;base;0.003;0.07815241068601608;0.06688579902184684;16;8;[2048, 2048]
2009;2019;100-1000;base;0.0;0.07501040399074554;0.06578405236039724;8;4;[2048, 2048]
2009;2019;100-1000;base;0.0;0.0725187361240387;0.06825144851731677;16;4;[2048, 2048]
2009;2019;100-1000;base;0.0;0.07413509488105774;0.05727950096095308;8;8;[2048, 2048]
2009;2019;100-1000;base;0.0;0.0720776692032814;0.0684739707936301;16;8;[2048, 2048]
2009;2019;100-1000;base;0.3;0.0731319785118103;0.07488911484249343;8;4;[2048, 2048]
2009;2019;100-1000;base;0.3;0.07175595313310623;0.07779728776959542;16;4;[2048, 2048]
2009;2019;100-1000;base;0.3;0.07449701428413391;0.05904266169676159;8;8;[2048, 2048]
2009;2019;100-1000;base;0.3;0.07216499745845795;0.0799252751996814;16;8;[2048, 2048]
2009;2019;max100;base;0.0001;1.668656826019287;0.10548732489623021;8;4;[2048, 2048]
2009;2019;max100;base;0.0001;2.009654998779297;0.028815731795382698;16;4;[2048, 2048]
