startyear;endyear;normalization;learningRate;lambdaValue;PCE;R2;numBlocks;dense;af
2009;2019;0mean;high;0.0001;6.021764278411865;0.0002415941290312152;20;[256, 512, 128];torch.nn.modules.activation.ELU
2009;2019;0mean;high;0.0001;4.194611549377441;0.0009120480989346005;20;[256, 512, 128];torch.nn.modules.activation.ELU
2009;2019;0mean;high;0.003;2.374596357345581;0.008612685366616366;20;[256, 512, 128];torch.nn.modules.activation.ReLU
2009;2019;0mean;high;0.003;3.06817626953125;0.016172922553917387;20;[256, 512, 128];torch.nn.modules.activation.ReLU
2009;2019;0mean;high;0.003;2.6425118446350098;0.019668045573224307;30;[256, 512, 128];torch.nn.modules.activation.ReLU
2009;2019;0mean;high;0.003;3.1346113681793213;0.00768971409289821;30;[256, 512, 128];torch.nn.modules.activation.ReLU
2009;2019;0mean;high;0.003;5.8707356452941895;0.0050671875947508474;30;[128, 256, 512, 128];torch.nn.modules.activation.ReLU
2009;2019;0mean;high;0.003;3.2479279041290283;0.003902208619756695;30;[128, 256, 512, 128];torch.nn.modules.activation.ReLU
2009;2019;0mean;high;0.003;2.269082546234131;0.007977124183704998;20;[256, 512, 128];torch.nn.modules.activation.ELU
2009;2019;0mean;high;0.003;2.5806360244750977;0.04676239113968655;20;[256, 512, 128];torch.nn.modules.activation.ELU
2009;2019;0mean;high;0.003;2.2713406085968018;0.013866327966694693;20;[256, 512, 128];torch.nn.modules.activation.ELU
2009;2019;0mean;high;0.003;2.4988057613372803;0.0262589829488382;30;[256, 512, 128];torch.nn.modules.activation.ELU
2009;2019;0mean;high;0.003;3.272948741912842;0.02628201491129491;30;[256, 512, 128];torch.nn.modules.activation.ELU
2009;2019;0mean;high;0.003;2.501302719116211;0.016900457044776655;30;[256, 512, 128];torch.nn.modules.activation.ELU
2009;2019;0mean;high;0.003;3.244385242462158;0.00052708374882355;30;[128, 256, 512, 128];torch.nn.modules.activation.ELU
2009;2019;0mean;high;0.003;3.073561906814575;0.005387961365079147;30;[128, 256, 512, 128];torch.nn.modules.activation.ELU
2009;2019;0mean;high;0.0;5.046334266662598;0.04815449274108968;20;[256, 512, 128];torch.nn.modules.activation.ReLU
2009;2019;0mean;high;0.0;3.594630002975464;0.00608944854176978;20;[256, 512, 128];torch.nn.modules.activation.ReLU
2009;2019;0mean;high;0.0;2.6249263286590576;0.004898165518820761;30;[256, 512, 128];torch.nn.modules.activation.ReLU
2009;2019;0mean;high;0.0;4.07342529296875;0.008004346174413025;30;[256, 512, 128];torch.nn.modules.activation.ReLU
2009;2019;0mean;high;0.0;2.6450703144073486;0.005119036153268616;20;[128, 256, 512, 128];torch.nn.modules.activation.ReLU
2009;2019;0mean;high;0.0;2.5370376110076904;0.0041416212130987945;30;[128, 256, 512, 128];torch.nn.modules.activation.ReLU
2009;2019;0mean;high;0.0;2.984377384185791;0.028161462692979543;20;[256, 512, 128];torch.nn.modules.activation.ELU
2009;2019;0mean;high;0.0;4.942012310028076;0.03243490023555392;20;[256, 512, 128];torch.nn.modules.activation.ELU
2009;2019;0mean;high;0.0;2.3928658962249756;0.030853791452278304;20;[256, 512, 128];torch.nn.modules.activation.ELU
2009;2019;0mean;high;0.0;3.9705185890197754;0.004939674562676168;30;[256, 512, 128];torch.nn.modules.activation.ELU
2009;2019;0mean;high;0.0;4.001601219177246;0.01592029964616536;30;[256, 512, 128];torch.nn.modules.activation.ELU
2009;2019;0mean;high;0.0;2.237091541290283;0.0060697347310500445;30;[256, 512, 128];torch.nn.modules.activation.ELU
2009;2019;0mean;high;0.0;3.0758285522460938;0.025934564472091207;20;[128, 256, 512, 128];torch.nn.modules.activation.ELU
2009;2019;0mean;high;0.0;5.817248344421387;0.02787205379258986;20;[128, 256, 512, 128];torch.nn.modules.activation.ELU
2009;2019;0mean;high;0.0;4.706838130950928;0.00687369015098487;30;[128, 256, 512, 128];torch.nn.modules.activation.ELU
2009;2019;0mean;high;0.0;4.272112846374512;0.0020121005117935014;30;[128, 256, 512, 128];torch.nn.modules.activation.ELU
2009;2019;0mean;high;0.0;2.686506986618042;0.01314284364687965;30;[128, 256, 512, 128];torch.nn.modules.activation.ELU
2009;2019;0mean;high;0.3;2.1181631088256836;0.006542096410977375;20;[256, 512, 128];torch.nn.modules.activation.ReLU
2009;2019;0mean;high;0.3;2.06046986579895;0.01324109670423891;20;[256, 512, 128];torch.nn.modules.activation.ReLU
2009;2019;0mean;high;0.3;2.531445026397705;0.015634002772912985;30;[256, 512, 128];torch.nn.modules.activation.ReLU
2009;2019;0mean;high;0.3;2.5808918476104736;0.009637287906289663;20;[128, 256, 512, 128];torch.nn.modules.activation.ReLU
2009;2019;0mean;high;0.3;2.0924861431121826;0.004424807492440369;20;[128, 256, 512, 128];torch.nn.modules.activation.ReLU
